Experience,job_description,Result,experience_count,advance_count,minimum_count,atleast_count,excellent_count,strong_count,expert_count,senior_count,deep_count,previous_count,fresher_count,basic_count,proficient_count,col1,col2,col3,col4
7.0,"Are you passionate about analytics? Would you like to help customers become more data driven to achieve their business goals? Do you want to learn the very latest in cloud web services technologies and apply them to some of the most interesting analytics workloads in the world? Are you skilled at helping customers and partners to address their Big Data and Analytics projects using cloud computing architectures?
At Amazon Web Services (AWS), were hiring technical Big Data and Analytics consultants to help our customers & partners develop technical expertise and capacity, and to work with our partners on key customer engagements.

Within the diverse Professional Services team, this role specializes in a variety of Big Data and Analytics aspects using cloud web services in large scale computing environments. Our Big Data and Analytics consultants deliver architecture guidance, lead projects, conduct customer workshops and implement complex data analytics workloads with our customers and partners.
Responsibilities include:
· Expertise - Collaborate with AWS field sales, pre-sales, training and support teams to help customers and partners learn and use AWS services such as Amazon Elastic Compute Cloud (EC2), Amazon Simple Storage Service (S3), Amazon Elastic Map Reduce (EMR), Amazon SageMaker (development of advanced analytics and Machine Learning pipelines), AWS Glue (serverless Apache Spark workloads), AWS Lambda (serverless computing), etc.

· Solutions - Define and deliver on-site technical engagements with partners and customers. This includes participating in pre-sales meetings & visits, understanding customer Big Data and Analytics requirements, and proposing and delivering packaged offerings, as well as delivering custom solution engagements.

· Delivery - Engagements include short on-site projects proving the use of AWS services to support new distributed computing solutions that often span private cloud and public cloud services. Engagements will include migration of existing applications and development of new applications using AWS cloud services.

· Insights - Work with AWS engineering, support and business teams to convey partner and customer feedback as input to AWS technology roadmaps.

Basic Qualifications

· 1+ years of experience in cloud
· 10+ years of experience with direct customer interaction
· 5+ years of experience with any of the following technologies: Databases (SQL/NoSQL, MongoDB, Cassandra, MariaDB, PostgreSQL), Big Data open source tools (Hadoop, Spark), Big Data proprietary tools (Hortonworks, Cloudera) programing experience (Java, Python, R, Julia, SQL) BI tools (Tableau, Power BI, Spotfire, Microstrategy, Cognos, etc).
· Business level command of English language, reading, writing and speaking.
· BS level degree required or equivalent
· Travel to customer locations may be required to support pre-sales and delivery of professional services, as needed.



Preferred Qualifications

· Current, large scale project implementation experience required.
· Strong verbal and written communications skills and ability to lead effectively across organizations.
· Project experience with key vertical markets such as Financial Sector, Telecom, and Utilities.
· Ability to think strategically about business, product, and technical challenges.
· Technical and analytical skills, possessing 7+ years of IT implementation/consulting experience.
· Implementation of AWS services in a distributed environments with large data pipelines using technologies such as Microsoft, IBM, Oracle, HP, SAP etc.
· BS level degree in computer science, business or math background preferred.
· Ability to understand and educate customers on cloud computing technologies and workload transition challenges.
Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer, and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, disability, age, or other legally protected status.",1,7,1,0,0,0,1,2,0,0,0,0,1,0,0,3,1,1
0.0,"QUALIFICATIONS
Bachelor or Masters or PhD level in the field of computer science, machine learning, applied statistics, mathematics
Experience in predictive analytics, AI, machine learning, visual analytics, neural networks, deep learning
Programming experience; Python & SQL preferred
Experience in applying data science methods to business problems
Good presentation and communication skills, with the ability to explain complex analytical concepts to people from other fields
WHO YOU'LL WORK WITH

You will work with other data scientists, data engineers, machine learning engineers, designers and project managers on interdisciplinary projects, using maths, stats and machine learning to derive structure and knowledge from raw data across various industry sectors.

Who you are

You are a highly collaborative individual who is capable of laying aside your own agenda, listening to and learning from colleagues, challenging thoughtfully and prioritising impact. You search for ways to improve things and work collaboratively with colleagues. You believe in iterative change, experimenting with new approaches, learning and improving to move forward quickly.

WHAT YOU'LL DO

As a Data Scientist at QuantumBlack in Jakarta...

You will work in multi-disciplinary environments harnessing data to provide real-world impact for organisations globally.

You will influence many of the recommendations our clients need to positively change their businesses and enhance performance.

Role responsibilities

Work on complex and extremely varied data sets from some of the world’s largest organisations to solve real world problems
Develop data science products and solutions for clients as well as for our data science team
Write highly optimized code to advance our internal Data Science Toolbox
Work in a multi-disciplinary environment with specialists in machine learning, engineering and design
Add real-world impact to your academic expertise, as you are encouraged to write ‘black’ papers and present at meetings and conferences should you wish
Attend conferences such as NIPS and ICML as one global team as well as Data Science retrospectives where you will have the opportunity to share and learn from your co-workers.
Work within one of the largest and most advanced data science teams in London, support the lead data scientists to develop data science products

What you’ll learn

How successful projections on real world problems across a variety of industries are completed through referencing past deliveries of end to end machine learning pipelines
Build products alongside the core engineering team and evolve the engineering process to scale with data, handling complex problems and advanced client situations
Be able to focus on modelling by working alongside the Data Engineering team which focuses on the wrangling, clean-up and transformation of data.
Best practices in software development and productionise machine learning by working with our Machine Learning Engineering teams which optimise code for model development and scale it
Work with our UX and Visual Design teams to interpret your complex models into stunning and user-focused visualisations
Using new technologies and problem-solving skills in a multicultural and creative environment

You will work on the frameworks and libraries that our teams of Data Scientists and Data Engineers use to progress from data to impact. You will guide global companies through data science solutions to transform their businesses and enhance performance across industries including healthcare, automotive, energy and elite sport.

Real-World Impact – No project is ever the same; we work across multiple sectors, providing unique learning and development opportunities internationally.
Fusing Tech & Leadership – We work with the latest technologies and methodologies and offer first class learning programmes at all levels.
Multidisciplinary Teamwork - Our teams include data scientists, engineers, project managers, UX and visual designers who work collaboratively to enhance performance.
Innovative Work Culture – Creativity, insight and passion come from being balanced. We cultivate a modern work environment through an emphasis on wellness, insightful talks and training sessions.
Striving for Diversity – With colleagues from over 40 nationalities, we recognise the benefits of working with people from all walks of life.

Our projects range from helping pharmaceutical companies bring lifesaving drugs to market quicker to optimising a Formula1 car’s performance. At QuantumBlack you have the best of both worlds; all the benefits of being part of one of the leading management consultancies globally and the autonomy to thrive in a fast growth tech culture:

Healthcare Efficiency – We helped a healthcare provider improve their clinical trial practices by identifying congestion in diagnostic testing as a key indicator of admissions breaches.
Environmental Impact – We designed and built the first data-driven application for a state of the art centre of excellence in urban innovation by collecting real-time data from environmental sensors across London and deploying proprietary analytics to find unexpected patterns in air pollution.
Product Development – We worked with the CEO of an elite automotive organisation to reduce the 18-month car development timeframe by improving processes, designs and team structures.

Please submit your CV in English

Visit our Careers site to watch our video and read about our interview processes and benefits

As an equal opportunity employer, QuantumBlack encourages applications from all backgrounds regardless of gender, race, disability, pregnancy, marital status, age, sexual orientation, gender reassignment, religion or belief. We maintain a sense of community rooted in respect and consideration for all employees where any evaluation is based simply upon individual work and team performance.",0,3,3,0,0,0,0,1,0,1,0,0,0,0,0,5,0,0
0.0,"Job Title:
IT Security Data Scientist

Job Code:
1181638
Skill Category:
IT\Technology
Location:
EMEA

Client Job Ref:
IT Sec

Job Type:
Permanent
Post Start Date:
5 Oct 2020
Post End Date:


Job Summary:
Data Scientist- IT Security

Nomura is searching for an experienced security
focused Data Scientist to enhance the output of the Global IT Security Team,
assisting with the growing data needs across the team.

The candidate will be located in the EMEA
region and be the lead for data mining and analytics, interpreting data visualization,
and facilitating the reporting of large integrated data sets built with
structured and unstructured data, and the development of automation and tools
to leverage proprietary data sources.

We are looking for someone keen to make an
impact by using data to make more intelligent, data driven decisions. The
candidate will enhance the status of the Global Security team by using
innovative analytical methods, with a focus on learning about business needs
and delivering business value. You must have a keen interest in machine
learning and automation, and be ready to expand your skills as the field
progresses.

This position reports to the head of the EMEA
IT Security team based in London, with additional responsibilities to the
Global Head of IT Security to support their strategic vision.



Responsibilities:

The role will cover a diverse range of areas
for the team, including:

�
Supporting the Global Head of IT Security to
leverage proprietary data for senior and executive management.

�
Develop automation capabilities and tools to
support Threat Intelligence.

�
Develop automation capabilities and tools to support
Digital Risk initiatives.

�
Enhance the reporting of the risk and
governance output.

�
Support the creation of Nomura�s data lake.

�
Support the Global IT Security team with ad-hoc
technical support.

�
Continuously seeks out industry best practice
and skills development to create new capabilities for data analytics.

�
Implement metrics/scorecards/dashboards to
track the effectiveness, engagement and business impact of the Global IT
Security team.

Required
Experience

In this position, the Data
Scientist must have the following skills and experience:

�
Proven
Background in delivering data science based projects in an IT security
environment.

�
Synthetic thinking skills with the ability to
connect the dots between data sets and business relevant insights that can be
delivered to a range of stakeholders.

�
Background
with data science and statistical analysis in R or Python.

�
Strong data management skills including SQL.

�
The ability to merge large data sets, to
generate insight from those data sets and to be able to visualize those
insights for both technical and non-technical audience.

�
Hands-on
experience working with 3rd party security vendors.

�
Demonstrable,
inquisitive nature with the ability to pursue lines of inquiry independently.

�
Excellent
written and verbal communication skills for coordinating across teams.

�
Prior working knowledge in the financial sector
or in a multinational company, across various time zones.

�
Awareness of malware, hacking tools and
advanced threat actor tactics, tools and techniques a large advantage.�

�
Understanding of and experience with modern
technical security controls and technologies, such as TIP�s, SOAR�s firewalls,
SIEMs, IPS, HIPS, web proxies, etc.

�
Knowledge of cyber threat intelligence models
(e.g., MITRE ATT&CK, Kill Chain, Diamond Model).

Qualifications

�
Degree in statistics, math, and data analytics,
physics, computer science, or machine-learning related fields.

�
Background working in a professional data
science position (preferably in security). �

�
Proven track record with a wide variety of
major data science / statistical analytics tools and programming languages (for
example experience in one or some of the following: Python, SPSS Modeler, SAS,
R, Scala, Spark).

�
Knowledge of visual analytical tools such as
Tableau.",0,6,1,0,0,1,1,0,1,0,0,0,0,0,0,1,2,0
0.0,"Company Description

Cermati is a financial technology (fintech) startup based in Indonesia. Cermati simplifies the process of finding and applying for financial product by bringing everything online so people can shop around for financial products online and can apply online without having to physically visit a bank.

Our team hailed from Silicon Valley Tech companies such as Google, Microsoft, LinkedIn and Sofi as well as Indonesian startups such as Doku, Touchten. We have graduates from well known universities such as Universitas Indonesia, ITB, Stanford, University of Washington, Cornell and many others. We are building a company with the same culture of openness, transparency, drive and meritocracy as Silicon Valley companies. Join us in our cause to build a world class fintech company in Indonesia.

Job Description

Working in a team to build credit risk modelling, analytics and reporting for retail customer
Partner with product team to determine how technology help to detect and reduce risk.
Analyze key metrics to determine risk. Help building the variety of data ingredients needed to do modelling effectively
Maintain the credit model platform which is utilised by the team and expected to provide advice and guidance on ongoing efficiency gains and new credit modelling methodology.

Qualifications

Have an undergraduate degree in an analytical discipline (e.g. math, statistics), however other disciplines will be considered
Have experience of using statistic tool such as R, Python SAS, SQL analytical tools or advanced MS Excel skills
Willingness to get his/her hands dirty to build the data

Additional Information

null",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,"HappyFresh is Southeast Asia's #1 Online Grocery Company and Asia's Best Company to Work For 2019.
With headquarters in Jakarta, we have expanded to eight cities in three countries and now operate in Indonesia, Malaysia, and Thailand. Every day, our team delivers the freshest, highest quality groceries to thousands of customers in Southeast Asia's major cities.

Our mission is to provide an easier way to access healthy food by enabling our customers to live life to the fullest and to have a healthy lifestyle for themselves and their loved ones. We know very well that when you create a product for everyone, you have to involve everyone. That is why at HappyFresh, we value inclusion over elitism, skills over credentials.

At HappyFresh, in terms of scale, you get to build a best-in-class technology that connects thousands of families with retail stores across Southeast Asia.

In terms of structure, you will be working in a cross-functional and self-organized team. From day one, we believe in “no silos” as an achievable goal.
What You'll be Doing
Do exploratory research about which model to use when solving a problem that the team needs to solve
Present the research findings to the team and business and product teams
Monitor the performance of our model in the production environment
Understand large amounts of data and the team business metrics to analyze and evaluate potential problems, hypotheses, and recommendations for better business performance
Coach and guide junior data scientists in the team
Continuously improve the process for model development, validation, and analyses
Who We Are Looking For
Min 3 year experiences doing AI / Machine Learning Projects
Experience in doing statistical analysis, developing machine learning models into production
Strong programming skills in Python and fluency in data manipulation (SQL, Spark, Pandas) and machine learning (scikit-learn, XGBoost, Keras/Tensorflow) tools
Ability to write complex, efficient, and eloquent SQL queries to extract data
Possess great design and problem-solving skills, have a passion for quality and engineering excellence at scale
Ability to work independently in a fast-paced, iterative development environment
Exemplary communication skills, ability to work with large cross-functional teams of technical and non-technical members.
Perks
Competitive salary package
Employee discounts: affordable grocery special for HappyFreshers!
Generous medical, dental, and maternity insurance
HappyHealth; allowance provided to HappyFreshers for health activities and health-related items
Work-from-home days
12 days of paid leave per year, annual 3-country conferences
Free Zumba/Muaythai for girls, Futsal for boys
Lactation room for working mothers
Cakes for every birthday/work anniversary, pizza/martabak everytime we find something to celebrate
See what it's like to work here: http://happyfresh.com/careers",1,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,2
6.0,"Job Description
Driving the team to create world-class actionable insights
Continuously increasing the quality of our dashboard and reporting
Be the benchmark of BI capability and set the standard for the company
Actively maintain large scale collaboration with internal and external parties that will benefit the whole company
Creating continuous improvement and better management of dependencies and integration with other teams and functions
Requirements
MS in a technical field, PhD Preferred. Formal advanced education in machine learning, AI, computer science, engineering preferred.
6+ years of experience in Data Science, Business Analytics, Business Intelligence, or related technical field working as Data Scientist
Business savviness to generate and present insights to senior stakeholders
Innovate using BI to produce industry leading Insight generation processes
Expert with various BI technology, and ability to design and implement a BI platform to process large Datasets
Past experience in e-commerce platforms will be highly valuable
Benefits
Competitive remuneration package
Attractive medical insurance
Supporting working device
16 days of paid leave per year",1,2,1,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0
3.0,"Work in one of the highest performing startup

High variety of use cases with latest technology

About Our Client

Our client is a leading Fintech startup with high social vision to help the underserved. They have made it possible for individuals to have accessibility to financial products.

Job Description
Gather, manage and scrub data collected from various analytic platforms and sources, write own SQL queries and build quantitative analysis.
Define problems and hypotheses, develop recommendations, and analyze large amounts of data to discover insights for solving the problems, leading to better business performance.
Collaborate with fellow Data Scientists, Data Engineers and other Business Units to design and deploy data drive solutions with high business value.
Implement continuous improvement to predictive accuracy of models, monitor its performance in production systems.
Apply best practices in data-driven decision processes through statistical theorems.
The Successful Applicant
Minimum 3 years of experience in data science, modelling, statistics and quantitative analysis.
Excellent understanding of machine learning algorithms in Python libraries and not limited to Scikitlearn, Pandas, Keras, Xgboost, Catboost, Tensorflow.
Proficiency in using SQL query language, and independently able to query databases, perform and search patterns.
Great understanding of linear algebra, multivariate calculus and applied statistics skills, such as distributions, statistical testing, regression, etc.
Solid analytical and problem solving skills, curious and fast learning with exceptional CAN-DO attitude.
Excellent data visualization and presentation skills.
Preferably Bachelor's Degree in mathematics, computer science, statistics, engineering or similar advanced degree.
What's on Offer
Competitive benefits
Work in one of the highest performing startup
High variety of use cases with latest technology",1,1,1,1,0,2,0,0,0,0,0,0,0,0,1,1,2,0
3.0,"Define problems and hypotheses, develop recommendations, and analyze large amounts of data to discover insights for solving the problems, leading to better business performance.
Design, plan, develop, and deploy machine learning models and advanced analytics solutions to solve a wide array of business problems.
Collaborate with Business Intelligence and Data Engineer teams to find the external and internal sources of new data and to improve existing data sources in order to continually improve data quality.
Continuously improve the performance of our models, monitor model performance in production systems closely.
Establish scalable, efficient, automated processes for large scale data analyses, model development, model validation, and model implementation
Coach and help junior data scientists to grow their capabilities.

Min 3 year experiences doing AI / Machine Learning Projects
Experience in doing statistical analysis, developing machine learning models into production
Familiar with Python to develop a statistical data model
Familiar with database query
Possess great design and problem-solving skills, have a passion for quality and engineering excellence at scale.
Ability to work independently in a fast-paced, iterative development environment.
Exemplary communication skills, ability to work with large cross-functional teams of technical and non-technical members.
Have a deep knowledge about statistic model
Have a good collaboration skill
Have a good communication skill
Have a strong critical thinking",1,2,1,0,0,0,1,0,0,1,0,0,0,0,0,2,1,0
4.0,"Experienced in using statistical computer languages (Python, SQL, etc.) and data streaming format (recordIO) to manipulate large volumes of data, internal or external, experienced in creating data processing architectures;

Knowledge of a variety of machine learning techniques and their real world advantages/drawbacks;

Experience with cloud solutions like AWS Sagemaker, Athena, Glue (Spark), or equivalent;

Experience with BI tools (Google Data Studio, Quicksight, Tableau, etc.);

Hungry to perform with persistence to deliver: project management and organizational multi-tasking;

Always solving problem: strong aptitude to find solutions; forecast and anticipate outcomes;

Connect & resolve: excellent communication skills with ability to understand needs and translate into action;

Recommended 4+ years of experience, previous media advertising/performance advertising experience preferred.",1,6,0,0,0,1,1,0,0,0,1,0,0,0,0,1,2,0
1.0,"Requirements

Bachelor’s degree in Computer Science, Informatics, or related major
Minimum 1 years of experience in Visual Analytic using Python
Maximum 35 years old
Knowledgeable in ML Framework like Tensorflow, Pytorch or Darknet are preferable.
Strong hands-on skill in Linux & Python
Familiar with Jupyter Notebook & versioning system (Git).
Able to work individually or in a team",1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
